"Year","cpi_score","iso_3"
2000,NA,"BIH"
2001,NA,"BIH"
2002,NA,"BIH"
2003,3.3,"BIH"
2004,NA,"BIH"
2005,NA,"BIH"
2006,NA,"BIH"
2007,NA,"BIH"
2008,NA,"BIH"
2009,NA,"BIH"
1998,6.1,"BWA"
1999,6.1,"BWA"
2000,6,"BWA"
2001,6,"BWA"
2002,6.4,"BWA"
2003,5.7,"BWA"
2004,6,"BWA"
2005,5.9,"BWA"
2006,5.6,"BWA"
2007,5.4,"BWA"
2008,5.8,"BWA"
2009,5.6,"BWA"
1998,4,"BRA"
1999,4.1,"BRA"
2000,3.9,"BRA"
2001,4,"BRA"
2002,4,"BRA"
2003,3.9,"BRA"
2004,3.9,"BRA"
2005,3.7,"BRA"
2006,3.3,"BRA"
2007,3.5,"BRA"
2008,3.5,"BRA"
2009,3.7,"BRA"
1998,NA,"BRN"
1999,NA,"BRN"
2000,NA,"BRN"
2001,NA,"BRN"
2002,NA,"BRN"
2003,NA,"BRN"
2004,NA,"BRN"
2005,NA,"BRN"
2006,NA,"BRN"
2007,NA,"BRN"
2008,NA,"BRN"
2009,NA,"BRN"
1998,NA,"BRN"
1999,NA,"BRN"
2000,NA,"BRN"
2001,NA,"BRN"
2002,NA,"BRN"
2003,NA,"BRN"
2004,NA,"BRN"
2005,NA,"BRN"
2006,NA,"BRN"
2007,NA,"BRN"
2008,NA,"BRN"
2009,5.5,"BRN"
1998,2.9,"BGR"
1999,3.3,"BGR"
2000,3.5,"BGR"
2001,3.9,"BGR"
2002,4,"BGR"
2003,3.9,"BGR"
2004,4.1,"BGR"
2005,4,"BGR"
2006,4,"BGR"
2007,4.1,"BGR"
2008,3.6,"BGR"
2009,3.8,"BGR"
1998,NA,"BFA"
1999,NA,"BFA"
2000,3,"BFA"
2001,NA,"BFA"
2002,NA,"BFA"
2003,NA,"BFA"
2004,NA,"BFA"
2005,3.4,"BFA"
2006,3.2,"BFA"
2007,2.9,"BFA"
2008,3.5,"BFA"
2009,3.6,"BFA"
1998,NA,"BDI"
1999,NA,"BDI"
2000,NA,"BDI"
2001,NA,"BDI"
2002,NA,"BDI"
2003,NA,"BDI"
2004,NA,"BDI"
2005,2.3,"BDI"
2006,2.4,"BDI"
2007,2.5,"BDI"
2008,1.9,"BDI"
2009,1.8,"BDI"
1998,NA,"KHM"
1999,NA,"KHM"
2000,NA,"KHM"
2001,NA,"KHM"
2002,NA,"KHM"
2003,NA,"KHM"
2004,NA,"KHM"
2005,2.3,"KHM"
2006,2.1,"KHM"
2007,2,"KHM"
2008,1.8,"KHM"
2009,2,"KHM"
1998,1.4,"CMR"
1999,1.5,"CMR"
2000,2,"CMR"
2001,2,"CMR"
2002,2.2,"CMR"
2003,1.8,"CMR"
2004,2.1,"CMR"
2005,2.2,"CMR"
2006,2.3,"CMR"
2007,2.4,"CMR"
2008,2.3,"CMR"
2009,2.2,"CMR"
1998,9.2,"CAN"
